title,genres,director,lead_actor,description
Nayakan,Action Drama,Mani Ratnam,Kamal Haasan,A young boy grows up to become a powerful underworld don in Mumbai.
Baasha,Action Thriller,Suresh Krissna,Rajinikanth,An auto driver with a dark past is forced to reveal his true identity.
Vikram,Action Thriller,Lokesh Kanagaraj,Kamal Haasan,A special investigator discovers a serial killings case is not what it seems.
Kaithi,Action Thriller,Lokesh Kanagaraj,Karthi,An ex-convict is forced to help the police in exchange for seeing his daughter.
Master,Action Drama,Lokesh Kanagaraj,Vijay,An alcoholic professor is sent to a juvenile school where he clashes with a gangster.
Thuppakki,Action Thriller,AR Murugadoss,Vijay,An army officer on a vacation in Mumbai sets out to track down and destroy a terrorist gang.
Mankatha,Action Thriller,Venkat Prabhu,Ajith Kumar,A suspended cop gets involved in a heist with a group of youngsters.
Vada Chennai,Crime Drama,Vetrimaaran,Dhanush,A proficient carrom player sets foot in the world of crime.
Asuran,Action Drama,Vetrimaaran,Dhanush,A farmer goes on the run with his family to protect his son from a wealthy landlord.
96,Romance Drama,C. Prem Kumar,Vijay Sethupathi,Two high school sweethearts meet at a reunion after 22 years.
Super Deluxe,Dark Comedy,Thiagarajan Kumararaja,Vijay Sethupathi,Four groups of people find themselves in unexpected and extreme situations.
Pariyerum Perumal,Drama,Mari Selvaraj,Kathir,A law student from a lower caste faces discrimination and oppression.
Anbe Sivam,Drama,Sundar C,Kamal Haasan,Two contrasting personalities undertake a journey together from Bhubaneswar to Chennai.
Ratsasan,Psychological Thriller,Ram Kumar,Vishnu Vishal,An aspiring film director turned police officer tracks down a serial killer.
Gargi,Drama Thriller,Gautham Ramachandran,Sai Pallavi,A young teacher fights for justice when her father is accused of a crime.
Sillu Karuppatti,Anthology Romance,Halitha Shameem,Samuthirakani,Four different stories of love and relationships.
Jai Bhim,Legal Drama,T. J. Gnanavel,Suriya,A pregnant woman from a tribal community searches for her missing husband with the help of a lawyer.
Soorarai Pottru,Biography Drama,Sudha Kongara,Suriya,An aspiring entrepreneur overcomes obstacles to start a low-cost airline.
Karnan,Action Drama,Mari Selvaraj,Dhanush,A fearless village youth fights for the rights of his oppressed people.
Theri,Action Drama,Atlee,Vijay,A former police officer tries to protect his daughter from his past enemies.
Mersal,Action Thriller,Atlee,Vijay,A doctor attempts to expose corruption in the medical industry while seeking revenge.
Enthiran,Sci-Fi Action,Shankar,Rajinikanth,A scientist creates a humanoid robot that falls in love and goes rogue.
Sivaji: The Boss,Action Drama,Shankar,Rajinikanth,A software engineer attempts to reform the corrupt system by using illegal money.
KGF: Chapter 1,Action Drama,Prashanth Neel,Yash,A young man becomes a powerful gangster in the Kolar Gold Fields (Dubbed).
Baahubali: The Beginning,Epic Action,SS Rajamouli,Prabhas,A young man learns about his royal heritage and seeks to rescue a captive queen (Dubbed).
Pokkiri,Action Thriller,Prabhu Deva,Vijay,An undercover police officer infiltrates a ruthless gang.
Ghilli,Action Romance,Dharani,Vijay,A Kabaddi player protects a young woman from a dangerous faction leader.
Aayirathil Oruvan,Action Adventure,Selvaraghavan,Karthi,An expedition sets out to find the lost Chola dynasty.
Pudhupettai,Crime Drama,Selvaraghavan,Dhanush,A young boy's journey from an ordinary teenager to a powerful gangster.
